python3 srcs/run_cli.py
> List of all isomorphic sets : 
   id  mult_bound      nb_molecules
  772  False                      5
  773  False                      2
  774  False                      7
  775  False                     12
  776  False                     40
  777  False                      2
  778  False                      4
  779  False                     76
  780  False                      2
  781  False                      3
  782  False                      7
  783  False                      1
  784  False                      3
  785  False                      7
  786  False                      1
  787  False                      1
  788  False                      1
  789  False                     10
  790  False                      4
  791  False                      1
  792  False                      2
  793  False                      2
  794  False                      3
  795  False                     10
  796  False                      5
  797  False                      5
  798  False                      2
  799  False                      1
  800  False                      1
  801  False                      2
  802  False                      2
  803  False                      1
  804  False                      5
  805  False                     24
  806  False                     38
  807  False                      2
  808  False                      2
  809  False                      7
  810  False                      2
  811  False                      7
  812  False                     14
  813  False                      1
  814  False                      2
  815  False                      2
  816  False                      4
  817  False                      3
  818  False                      4
  819  False                      1
  820  False                      1
  821  False                      2
  822  False                      2
  823  False                      2
  824  False                      1
  825  False                      4
  826  False                      2
  827  False                      1
  828  False                      1
  829  False                      1
  830  False                      1
  831  False                      2
  832  False                      1
  833  False                      2
  834  False                      7
  835  False                      1
  836  False                      2
  837  False                      2
  838  False                      2
  839  False                      3
  840  False                      4
  841  False                      5
  842  False                      1
  843  False                      3
  844  False                      1
  845  False                      4
  846  False                     12
  847  False                      2
  848  False                      5
  849  False                      1
  850  False                     10
  851  False                      1
  852  False                      2
  853  False                      2
  854  False                      1
  855  False                      1
  856  False                      2
  857  False                      3
  858  False                     17
  859  False                      2
  860  False                      3
  861  False                      1
  862  False                      2
  863  False                      5
  864  False                      1
  865  False                      5
  866  False                      2
  867  False                      2
  868  False                      4
  869  False                      3
  870  False                      1
  871  False                      1
  872  False                      1
  873  False                      4
  874  False                      1
  875  False                      1
  876  False                      2
  877  False                     11
  878  False                      4
  879  False                      2
  880  False                      4
  881  False                      2
  882  False                      2
  883  False                      2
  884  False                      6
  885  False                      2
  886  False                      2
  887  False                      3
  888  False                      1
  889  False                      1
  890  False                      2
  891  False                      9
  892  False                      2
  893  False                      4
  894  False                      2
